Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
1    -1 9.921392368920044 2.368148673946822 -4.993626073449196    -0.027272727272727275 9.78444007359883 2.298797040095908 -5.025305953176122
2    -0.027272727272727275 9.78444007359883 2.298797040095908 -5.025305953176122    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678
3    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.015151515151515152 9.638246432193313 2.528798809456655 -5.177327338506092
4    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.847668073402115 2.396471424115723 -5.124041738346723
5    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.664152993511905 2.5079802145975485 -5.331171436687897
6    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.740368274051777 2.3924874458112506 -5.169960985847031
7    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.05454545454545455 9.72216688626457 2.5065259755308946 -4.978005081098555
8    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.763389755174044 2.4139628075879007 -5.17783646711003
9    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.795513212074718 2.4535691511756053 -5.146475986566659
10    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.754010583106322 2.4188552411491973 -5.1705476133088375
11    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.774244547298927 2.422452463818898 -5.176415731379996
12    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.885458852924435 2.3879118187486297 -5.1402474075885936
13    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.027272727272727275 9.785909948986696 2.3967734626505313 -5.141343487066845
14    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.027272727272727275 9.775100049808485 2.4294510652388195 -5.084069556767911
15    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.024242424242424242 9.759823941793728 2.5122351235595395 -5.108951931830667
16    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.06060606060606061 9.811397156646153 2.454112969455908 -5.138233591158869
17    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.04242424242424243 9.672477246024647 2.432594634156333 -5.110014318089842
18    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.764849224737455 2.3980561243922827 -5.172105188041681
19    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.030303030303030304 9.777355808948826 2.4011523081559125 -5.175967301853734
20    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.024242424242424242 9.777103396253796 2.432991973696076 -5.171079688307181
21    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0 9.765172146135999 2.2957029598373553 -5.20010171352515
22    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.027272727272727275 9.863120463652457 2.3047595113022297 -5.026414314982345
23    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0 9.782555643620405 2.420713983355417 -5.179340103992845
24    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.045454545454545456 9.774418324632315 2.452714822124865 -5.116045653594621
25    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.746573110541682 2.4084175873930107 -5.168053724741129
26    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.030303030303030304 9.736288427582934 2.4303545787246765 -5.173720343394374
27    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.06060606060606061 9.730649637542594 2.4274665631763312 -5.101861206358258
28    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.024242424242424242 9.70408546944637 2.3808626658183156 -5.120463248713848
29    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.757288879616947 2.4209169545762363 -5.108753063287936
30    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.770343824824561 2.381192695007262 -5.197425789689267
31    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.015151515151515152 9.77537984099207 2.4236357231613166 -5.184021235078431
32    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.640264698384128 2.329265696333821 -5.075803994808376
33    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.706314781703659 2.4906524409287014 -5.252569250643529
34    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.015151515151515152 9.811876313464762 2.4142714293400966 -5.135906162014999
35    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.810787699112113 2.3847828469355354 -5.200870844260282
36    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.745839255796158 2.4020905757607096 -5.162676894782074
37    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.76575128177497 2.4106695479589177 -5.172683952794359
38    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.015151515151515152 9.751662742810092 2.4335564348511958 -5.163647097356976
39    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.00909090909090909 9.712668121069816 2.4299893325068203 -5.165781639307953
40    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.669201414708267 2.4459533683049504 -5.198345849218847
41    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.012121212121212121 9.771695650564387 2.4271501401197884 -5.097798066077388
42    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.04242424242424243 9.808802986555277 2.4455952549265905 -5.125527399161596
43    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    -0.00909090909090909 9.718404758151523 2.4455938055437536 -5.091845174120876
44    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.0030303030303030303 9.75340793823412 2.4081960159126408 -5.1421205169267505
45    0.0030303030303030303 9.764918565472822 2.41414080732831 -5.176694491841678    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091
46    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.00909090909090909 9.763315039167408 2.3462889352026113 -5.190886680273906
47    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.750986909122178 2.3624576751869366 -5.209485844724471
48    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.643634003280065 2.407688291697747 -5.138673637045046
